,data,mark
0,"ооо "" табак - инвест """,1
1,"( юр . адрес ) беларусь , 220073 , г. минск , ул. гусовского , 22",2
2,"223035 , минский обл. , минский р-н , п / о ратомка , ждановичский с/с , 16/1",3
3,+375 29 121 77 77,4
4,reception@robinson-city.by,5
5,инфо - центр ( 24/7 ),6
6,минский городской исполнительный комитет,8
7,"унп 601070700 , лицензия № 50000/1351",0
8,"ооо "" эдусофт """,1
9,"комсомольский 3 , дом 54 , 224005 брест , беларусь",2
10,"ул. комсомольский д. 3 оф. 54 , 224005 г. бpecт , беларусь",3
11,тел . : +375 25 5000 400,4
12,email :   sales@classroom.by,5
13,пн - пт с 9.00 до 21.00 ( gmt+3 ),6
14,минский городской исполнительный комитет,8
15,предоставлять образовательный услуга .,0
16,"ооо "" дикий орхидея """,1
17,"ул. кальварийская , 17 , офис 205 , 220073 , г. минск , беларусь",2
18,"ул. кальварийская , 17 , офис 205 , 220073 , г. минск , беларусь",3
19,+375 ( 29 ) 123 - 45 - 67,4
20,support@dikaya-orchideya.by,5
21,пн - пт : 10:00 - 19:00,6
22,минский городской исполнительный комитет,8
23,продавать нижний бельё и одежда .,0
24,"ооо "" welcomecanada """,1
25,"пр . независимость , 58 , офис 12 , 220005 , г. минск , беларусь",2
26,"пр . независимость , 58 , офис 12 , 220005 , г. минск , беларусь",3
27,+375 ( 29 ) 987 - 65 - 43,4
28,info@welcomecanada.by,5
29,пн - пт : 09:00 - 17:00,6
30,минский городской исполнительный комитет,8
31,специализируются на организация тур и визовый консультация .,0
32,"ооо "" новый гарфилд """,1
33,"ул. ленин , 14 , офис 303 , 220030 , г. минск , беларусь",2
34,"ул. ленин , 14 , офис 303 , 220030 , г. минск , беларусь",3
35,+375 ( 29 ) 456 - 78 - 90,4
36,contact@new.garfield.by,5
37,пн - пт : 08:00 - 18:00,6
38,минский городской исполнительный комитет,8
39,продавать игрушка и детский товар .,0
40,ип сайков антон дмитриевич,1
41,"беларусь , г. минск , ул. одинцов 48 - 21",2
42,"беларусь , г. минск , ул. одинцов 48 - 21",3
43,+375 29 188 - 26 - 08,4
44,antonsaikov@mail.ru,5
45,пн - пт с 10:00 до 20:00,6
46,"свидетельство о государственный регистрация выдать 09.04.2013 г. , минский горисполком",8
47,унп 191889434,0
48,"ооо "" атом интер """,1
49,"ул. янка купала , 78 , оф. 203 , 220100 , г. минск , беларусь",2
50,"ул. янка купала , 78 , оф. 203 , 220100 , г. минск , беларусь",3
51,+375 ( 17 ) 334 - 56 - 78,4
52,info@atomenter.shop,5
53,пн - пт : 09:00 - 18:00,6
54,минский городской исполнительный комитет,8
55,продавать бытовой техника .,0
56,ип протасов марина адольфович,1
57,"230026 , республика   беларусь , гродно , ул. пестрака , д. 50 , кв. 118",2
58,"230026 , республика   беларусь , гродно , ул. пестрака , д. 50 , кв. 118",3
59,375 ( 29 ) 780 - 30 - 24,4
60,protasova.sport@gmail.com,5
61,10:00 – 20:00,6
62,"15.03.2021 , № 504722 , гродненский городской исполнительный комитет",7
63,№ 0708286 от 01.07.2020 выдать администрация октябрьский район г. гродно,8
64,ип кулешевич николай николаевич,1
65,"г. лида , ул. набережный , 2/2 , кв. 13",2
66,"230000 , г. гродно , ул. ожешко , 25/3 , каб.214",3
67,+375 29 115 56 33,4
68,knn@tut.by,5
69,пн - пт с 11:30 до 20:00 ( по предварительный запись ),6
70,"унп : 590599479 , текущий ( расчётный ) счёт : by78pjcb30136003861010000933 в byn в оао "" приорбанк "" бик : pjcbby2x",0
71,"ооо "" приятный сюрприз """,1
72,"республика беларусь , 220004 г. минск , ул. раковская , 18",2
73,"республика беларусь , 220004 г. минск , ул. раковская , 18",3
74,( a1 ) +375 44 7 3333 68,4
75,info@surprise.by,5
76,"время работа : 09:00 - 20:00 , без выходной",6
77,"регистрация в егр 31.08.2011 , мингорисполком",7
78,унп : 191685808,0
79,"ооо "" протрейдинг """,1
80,"г. минск , ул. богданович , 153 , офис 1",2
81,"г. минск , ул. богданович , 153 , офис 1",3
82,+375 ( 17 ) 211 - 00 - 00,4
83,info@protrading.by,5
84,пн - пт : 9:00 - 18:00,6
85,сайт предоставлять услуга по продажа оборудование и инструмент для бизнес .,0
86,"уп "" вымпекс кроун """,1
87,"	 220075 , республика беларусь , г. минск , ул. cелицкого 113а , офис 34",2
88,"220075 , республика беларусь , г. минск , ул. cелицкого 113а , офис 34",3
89,тел . 8 ( 044 ) 532 - 88 - 87,4
90,sport-shop@vimpexsport.by,5
91,пн - пт : 09:00 - 18:00,6
92,минский городской исполнительный комитет,8
93,"ооо "" 4play """,1
94,"г. минск , ул. пушкин , 44 , офис 100",2
95,"г. минск , ул. пушкин , 44 , офис 100",3
96,+375 ( 29 ) 456 - 78 - 90,4
97,info@4play.by,5
98,пн - пт : 9:00 - 18:00,6
99,минский городской исполнительный комитет,8
100,интернет - магазин игровой аксессуар и оборудование для геймер,0
101,"ооо "" белхард компьютерс ""  ",1
102,"беларусь , 220004 , минск , ул. мельникайте , 2 , пом.1 , к.1204",2
103,"беларусь , 220004 , минск , ул. мельникайте , 2 , пом.1 , к.1204",3
104,тел . +375172438426,4
105,zakaz@belhard.com.by,5
106,"режим работа : онлайн 24/7 , офис пн. – пт. : с 9:00 до 18:00",6
107,регистрационный номер : 536856 от 1 июль 2022 год .,7
108,унп 101071960,0
109,"ооо "" зовпласт """,1
110,"ул. дубко , д.18,231751 , д. вертелишки , гродненский р-н , республика беларусь",2
111,"ул. дубко , д.18,231751 , д. вертелишки , гродненский р-н , республика беларусь",3
112,тел . +375 ( 152 ) 61 10 94,4
113,info.zovonline@gmail.com,5
114,пн.–пт .   9:00–18:00,6
115,"свидетельство о государственный регистрация юридический лицо № 591512543 , выдать 11.06.2014 г.",7
116,гродненский   районный исполнительный комитет .,8
117,унп 591512543,0
118,ип климович а.и.,1
